data_type,structure_category,tree_category,time_category,prediction_category,size,Kendall [c],Kendall [p],Spearman [c],Spearman [p]
train,unseen,unseen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,all,all,all,8477,0.153±0.024,0.723±0.019,0.213±0.034,0.865±0.016
val,all,all,all,underestimated,4014,0.241±0.033,0.822±0.021,0.339±0.045,0.936±0.015
val,all,all,all,overestimated,4463,0.094±0.019,0.751±0.019,0.126±0.027,0.879±0.020
val,all,all,small,all,1931,-0.002±0.047,0.196±0.065,-0.026±0.073,0.290±0.088
val,all,all,small,underestimated,552,0.102±0.069,0.594±0.065,0.099±0.083,0.773±0.073
val,all,all,small,overestimated,1378,0.070±0.045,0.351±0.048,0.092±0.074,0.513±0.053
val,all,all,medium,all,4260,0.169±0.030,0.552±0.038,0.245±0.041,0.704±0.041
val,all,all,medium,underestimated,2103,0.247±0.046,0.670±0.054,0.355±0.060,0.820±0.051
val,all,all,medium,overestimated,2157,0.096±0.051,0.608±0.043,0.140±0.068,0.740±0.055
val,all,all,big,all,2286,0.095±0.026,0.598±0.031,0.145±0.035,0.720±0.035
val,all,all,big,underestimated,1359,0.113±0.051,0.587±0.049,0.173±0.065,0.697±0.067
val,all,all,big,overestimated,927,0.051±0.022,0.739±0.062,0.079±0.025,0.865±0.064
val,all,seen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,seen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,all,unseen,all,all,8477,0.153±0.024,0.723±0.019,0.213±0.034,0.865±0.016
val,all,unseen,all,underestimated,4014,0.241±0.033,0.822±0.021,0.339±0.045,0.936±0.015
val,all,unseen,all,overestimated,4463,0.094±0.019,0.751±0.019,0.126±0.027,0.879±0.020
val,all,unseen,small,all,1931,-0.002±0.047,0.196±0.065,-0.026±0.073,0.290±0.088
val,all,unseen,small,underestimated,552,0.102±0.069,0.594±0.065,0.099±0.083,0.773±0.073
val,all,unseen,small,overestimated,1378,0.070±0.045,0.351±0.048,0.092±0.074,0.513±0.053
val,all,unseen,medium,all,4260,0.169±0.030,0.552±0.038,0.245±0.041,0.704±0.041
val,all,unseen,medium,underestimated,2103,0.247±0.046,0.670±0.054,0.355±0.060,0.820±0.051
val,all,unseen,medium,overestimated,2157,0.096±0.051,0.608±0.043,0.140±0.068,0.740±0.055
val,all,unseen,big,all,2286,0.095±0.026,0.598±0.031,0.145±0.035,0.720±0.035
val,all,unseen,big,underestimated,1359,0.113±0.051,0.587±0.049,0.173±0.065,0.697±0.067
val,all,unseen,big,overestimated,927,0.051±0.022,0.739±0.062,0.079±0.025,0.865±0.064
val,seen,all,all,all,5393,0.114±0.037,0.790±0.026,0.155±0.052,0.913±0.021
val,seen,all,all,underestimated,2597,0.175±0.046,0.858±0.036,0.244±0.065,0.954±0.023
val,seen,all,all,overestimated,2795,0.062±0.051,0.821±0.020,0.081±0.078,0.925±0.022
val,seen,all,small,all,1160,-0.040±0.056,0.264±0.095,-0.103±0.083,0.389±0.125
val,seen,all,small,underestimated,357,0.072±0.078,0.611±0.047,0.045±0.107,0.787±0.050
val,seen,all,small,overestimated,803,-0.007±0.080,0.436±0.080,-0.044±0.144,0.624±0.084
val,seen,all,medium,all,2668,0.141±0.018,0.639±0.067,0.203±0.026,0.794±0.084
val,seen,all,medium,underestimated,1357,0.198±0.065,0.703±0.101,0.279±0.086,0.839±0.106
val,seen,all,medium,overestimated,1310,0.078±0.068,0.719±0.023,0.119±0.099,0.853±0.025
val,seen,all,big,all,1564,0.095±0.031,0.690±0.043,0.139±0.042,0.803±0.061
val,seen,all,big,underestimated,882,0.104±0.082,0.674±0.080,0.155±0.107,0.766±0.107
val,seen,all,big,overestimated,682,0.053±0.045,0.789±0.031,0.082±0.054,0.903±0.027
val,seen,seen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,seen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,seen,unseen,all,all,5393,0.114±0.037,0.790±0.026,0.155±0.052,0.913±0.021
val,seen,unseen,all,underestimated,2597,0.175±0.046,0.858±0.036,0.244±0.065,0.954±0.023
val,seen,unseen,all,overestimated,2795,0.062±0.051,0.821±0.020,0.081±0.078,0.925±0.022
val,seen,unseen,small,all,1160,-0.040±0.056,0.264±0.095,-0.103±0.083,0.389±0.125
val,seen,unseen,small,underestimated,357,0.072±0.078,0.611±0.047,0.045±0.107,0.787±0.050
val,seen,unseen,small,overestimated,803,-0.007±0.080,0.436±0.080,-0.044±0.144,0.624±0.084
val,seen,unseen,medium,all,2668,0.141±0.018,0.639±0.067,0.203±0.026,0.794±0.084
val,seen,unseen,medium,underestimated,1357,0.198±0.065,0.703±0.101,0.279±0.086,0.839±0.106
val,seen,unseen,medium,overestimated,1310,0.078±0.068,0.719±0.023,0.119±0.099,0.853±0.025
val,seen,unseen,big,all,1564,0.095±0.031,0.690±0.043,0.139±0.042,0.803±0.061
val,seen,unseen,big,underestimated,882,0.104±0.082,0.674±0.080,0.155±0.107,0.766±0.107
val,seen,unseen,big,overestimated,682,0.053±0.045,0.789±0.031,0.082±0.054,0.903±0.027
val,unseen,all,all,all,3084,0.266±0.010,0.613±0.023,0.372±0.014,0.778±0.026
val,unseen,all,all,underestimated,1417,0.359±0.044,0.770±0.020,0.505±0.063,0.907±0.016
val,unseen,all,all,overestimated,1667,0.216±0.041,0.652±0.021,0.302±0.059,0.809±0.025
val,unseen,all,small,all,770,0.055±0.070,0.090±0.046,0.082±0.104,0.128±0.073
val,unseen,all,small,underestimated,195,0.239±0.075,0.521±0.086,0.322±0.118,0.679±0.125
val,unseen,all,small,overestimated,575,0.147±0.072,0.243±0.042,0.236±0.104,0.355±0.066
val,unseen,all,medium,all,1591,0.199±0.065,0.425±0.068,0.284±0.094,0.569±0.091
val,unseen,all,medium,underestimated,745,0.279±0.049,0.623±0.046,0.395±0.073,0.787±0.047
val,unseen,all,medium,overestimated,846,0.134±0.088,0.493±0.094,0.190±0.129,0.624±0.116
val,unseen,all,big,all,722,0.104±0.055,0.457±0.088,0.159±0.078,0.596±0.091
val,unseen,all,big,underestimated,477,0.070±0.051,0.511±0.052,0.112±0.073,0.649±0.062
val,unseen,all,big,overestimated,245,0.219±0.090,0.633±0.167,0.313±0.106,0.771±0.165
val,unseen,seen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
