data_type,structure_category,tree_category,time_category,prediction_category,size,mse,mape
val,all,unseen,medium,underestimated,2103,0.538±0.136,0.324±0.021
val,all,unseen,medium,overestimated,2157,10.098±3.636,1.611±0.397
val,all,unseen,big,all,2287,109.578±30.464,0.245±0.007
val,all,unseen,big,underestimated,1360,157.660±49.059,0.265±0.018
val,all,unseen,big,overestimated,927,41.296±19.758,0.214±0.019
val,seen,all,all,all,5393,20.042±8.179,21.217±6.292
val,seen,all,all,underestimated,2598,33.430±16.663,0.280±0.040
val,seen,all,all,overestimated,2796,7.616±3.491,40.605±12.021
val,seen,all,small,all,1160,5.792±6.671,96.524±27.096
val,seen,all,small,underestimated,357,0.004±0.001,0.441±0.058
val,seen,all,small,overestimated,803,7.705±8.865,137.274±34.084
val,seen,all,medium,all,2668,2.649±1.056,0.554±0.123
val,seen,all,medium,underestimated,1358,0.385±0.245,0.291±0.034
val,seen,all,medium,overestimated,1311,4.904±2.242,0.830±0.270
val,seen,all,big,all,1565,61.327±28.291,0.173±0.023
val,seen,all,big,underestimated,883,100.158±53.443,0.197±0.028
val,seen,all,big,overestimated,682,12.640±6.246,0.143±0.020
val,seen,seen,all,all,0,0.000±0.000,0.000±0.000
val,seen,seen,all,underestimated,0,0.000±0.000,0.000±0.000
val,seen,seen,all,overestimated,0,0.000±0.000,0.000±0.000
val,seen,seen,small,all,0,0.000±0.000,0.000±0.000
val,seen,seen,small,underestimated,0,0.000±0.000,0.000±0.000
val,seen,seen,small,overestimated,0,0.000±0.000,0.000±0.000
val,seen,seen,medium,all,0,0.000±0.000,0.000±0.000
val,seen,seen,medium,underestimated,0,0.000±0.000,0.000±0.000
val,seen,seen,medium,overestimated,0,0.000±0.000,0.000±0.000
val,seen,seen,big,all,0,0.000±0.000,0.000±0.000
val,seen,seen,big,underestimated,0,0.000±0.000,0.000±0.000
val,seen,seen,big,overestimated,0,0.000±0.000,0.000±0.000
val,seen,unseen,all,all,5393,20.042±8.179,21.217±6.292
val,seen,unseen,all,underestimated,2598,33.430±16.663,0.280±0.040
val,seen,unseen,all,overestimated,2796,7.616±3.491,40.605±12.021
val,seen,unseen,small,all,1160,5.792±6.671,96.524±27.096
